Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
KOR,Korea,Logistics, wholesale and retail,VC,50.366121,2016
KOR,Korea,Logistics, wholesale and retail,VC,31.007407,2017
KOR,Korea,Logistics, wholesale and retail,VC,329.645291,2018
KOR,Korea,Logistics, wholesale and retail,VC,13.3548025,2019
KOR,Korea,Logistics, wholesale and retail,VC,23.581467,2020
KOR,Korea,Logistics, wholesale and retail,VC,101.7203495,2021
KOR,Korea,Logistics, wholesale and retail,VC,178.183841,2022
KOR,Korea,Logistics, wholesale and retail,VC,45.921279,2023
KOR,Korea,Logistics, wholesale and retail,VC,104.641153,2024
KOR,Korea,Logistics, wholesale and retail,VC,16.833614,2025
FRA,France,Logistics, wholesale and retail,VC,5.627986,2015
FRA,France,Logistics, wholesale and retail,VC,32.59978,2016
FRA,France,Logistics, wholesale and retail,VC,25.705230999999998,2018
FRA,France,Logistics, wholesale and retail,VC,5.272432,2019
FRA,France,Logistics, wholesale and retail,VC,95.54703599999999,2020
FRA,France,Logistics, wholesale and retail,VC,34.653211999999996,2021
FRA,France,Logistics, wholesale and retail,VC,506.267916,2022
FRA,France,Logistics, wholesale and retail,VC,29.212296,2023
FRA,France,Logistics, wholesale and retail,VC,11.341887,2024
FRA,France,Logistics, wholesale and retail,VC,30.716285,2025
CAN,Canada,Logistics, wholesale and retail,VC,0.1,2013
CAN,Canada,Logistics, wholesale and retail,VC,3.5,2014
CAN,Canada,Logistics, wholesale and retail,VC,17.884723,2015
CAN,Canada,Logistics, wholesale and retail,VC,53.22,2016
CAN,Canada,Logistics, wholesale and retail,VC,3.055,2018
CAN,Canada,Logistics, wholesale and retail,VC,8,2019
CAN,Canada,Logistics, wholesale and retail,VC,52.839597499999996,2020
CAN,Canada,Logistics, wholesale and retail,VC,180.823926,2021
CAN,Canada,Logistics, wholesale and retail,VC,178.15899499999998,2022
CAN,Canada,Logistics, wholesale and retail,VC,69.25,2023
CAN,Canada,Logistics, wholesale and retail,VC,70.408387,2024
CAN,Canada,Logistics, wholesale and retail,VC,39.816479,2025
GBR,United Kingdom,Logistics, wholesale and retail,VC,0.591002,2013
GBR,United Kingdom,Logistics, wholesale and retail,VC,12.15,2014
GBR,United Kingdom,Logistics, wholesale and retail,VC,5.506112,2015
GBR,United Kingdom,Logistics, wholesale and retail,VC,3.477049,2016
GBR,United Kingdom,Logistics, wholesale and retail,VC,20.172544000000002,2017
GBR,United Kingdom,Logistics, wholesale and retail,VC,14.369757,2018
GBR,United Kingdom,Logistics, wholesale and retail,VC,18.347056,2019
GBR,United Kingdom,Logistics, wholesale and retail,VC,3.444172,2020
GBR,United Kingdom,Logistics, wholesale and retail,VC,94.601333,2021
GBR,United Kingdom,Logistics, wholesale and retail,VC,23.663239,2022
GBR,United Kingdom,Logistics, wholesale and retail,VC,94.483182,2023
GBR,United Kingdom,Logistics, wholesale and retail,VC,66.1360605,2024
GBR,United Kingdom,Logistics, wholesale and retail,VC,175.512613,2025
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,11,2015
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,16,2016
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,44.2,2017
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,4.25,2018
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,44.6,2019
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,27.48,2020
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,15.3,2021
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,166,2022
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,2.56,2023
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,34.38,2024
ARE,United Arab Emirates,Logistics, wholesale and retail,VC,8.053708,2025
JPN,Japan,Logistics, wholesale and retail,VC,1.90465,2012
JPN,Japan,Logistics, wholesale and retail,VC,2.428229,2013
JPN,Japan,Logistics, wholesale and retail,VC,1.7785549999999999,2016
JPN,Japan,Logistics, wholesale and retail,VC,2.9896719999999997,2017
JPN,Japan,Logistics, wholesale and retail,VC,13.948446500000001,2018
JPN,Japan,Logistics, wholesale and retail,VC,9.685191,2019
JPN,Japan,Logistics, wholesale and retail,VC,1.856124,2020
JPN,Japan,Logistics, wholesale and retail,VC,15.585038,2021
JPN,Japan,Logistics, wholesale and retail,VC,26.68095,2022
JPN,Japan,Logistics, wholesale and retail,VC,62.895231,2023
JPN,Japan,Logistics, wholesale and retail,VC,17.124179,2024
JPN,Japan,Logistics, wholesale and retail,VC,48.569368499999996,2025
